Condition,Ethnicity,count,balance count,target_count
Interactive,East Asian,8,11,19
Interactive,Latino/Hispanic,10,9,19
Interactive,African,7,10,17
Interactive,South Asian,7,8,15
Interactive,Black/African American,5,9,14
Interactive,Rather not say,5,9,14
Interactive,Middle Eastern,7,5,12
Interactive,White Sephardic Jew,6,6,12
Interactive,Mixed,10,1,11
Interactive,Other (please feel free to let us know your ethnicity via email),3,8,11
Interactive,South East Asian,5,6,11
Interactive,White,11,0,11
Interactive,Caribbean,3,5,8
Interactive,Black/British,2,5,7
Interactive,White Mexican,2,5,7
Interactive,Native American or Alaskan Native,1,5,6
Interactive,Romani/Traveller,0,6,6


Static,East Asian,12,7,19
Static,Latino/Hispanic,10,9,19
Static,African,10,7,17
Static,South Asian,8,7,15
Static,Black/African American,9,5,14
Static,Rather not say,9,5,14
Static,Middle Eastern,5,7,12
Static,White Sephardic Jew,6,6,12
Static,Mixed,11,0,11
Static,Other (please feel free to let us know your ethnicity via email),8,3,11
Static,South East Asian,6,5,11
Static,White,10,1,11
Static,Caribbean,5,3,8
Static,Black/British,5,2,7
Static,White Mexican,5,2,7
Static,Native American or Alaskan Native,5,1,6
Static,Romani/Traveller,6,0,6
