,Condition,Nationality,count,balance count,target_count
0,Interactive,South Africa,21,0,21
3,Interactive,United States,1,17,18
5,Interactive,Mexico,5,10,15
6,Interactive,Canada,9,5,14
4,Interactive,United Kingdom,0,13,13
1,Interactive,India,12,0,12
2,Interactive,Brazil,10,0,10
7,Interactive,Poland,0,10,10
8,Interactive,Australia,4,3,7
9,Interactive,Egypt,6,1,7
10,Interactive,France,0,5,5
11,Interactive,Chile,2,2,4
12,Interactive,Germany,0,4,4
13,Interactive,Korea,2,2,4
14,Interactive,Netherlands,4,0,4
15,Interactive,Israel,3,0,3
16,Interactive,Portugal,0,3,3
17,Interactive,Spain,0,3,3
18,Interactive,Vietnam,1,2,3
19,Interactive,China,1,1,2
20,Interactive,Estonia,0,2,2
21,Interactive,Greece,0,2,2
22,Interactive,Hong Kong,0,2,2
23,Interactive,Hungary,1,1,2
24,Interactive,Indonesia,2,0,2
25,Interactive,Italy,0,2,2
26,Interactive,Kenya,0,2,2
27,Interactive,Morocco,1,1,2
28,Interactive,Pakistan,0,2,2
29,Interactive,Romania,1,1,2
30,Interactive,Slovenia,0,2,2
31,Interactive,Turkey,1,1,2
32,Interactive,Colombia,1,0,1
33,Interactive,Croatia,0,1,1
34,Interactive,Czech Republic,0,1,1
35,Interactive,Iraq,1,0,1
36,Interactive,Jamaica,1,0,1
37,Interactive,Japan,1,0,1
38,Interactive,Lithuania,0,1,1
39,Interactive,Malaysia,0,1,1
40,Interactive,Philippines,1,0,1
41,Interactive,Russian Federation,0,1,1
42,Interactive,Saint Martin (French part),0,1,1
43,Interactive,Sweden,0,1,1
44,Interactive,Trinidad and Tobago,0,1,1
45,Interactive,Tunisia,0,1,1
46,Static,South Africa,14,7,21
49,Static,United States,18,0,18
51,Static,Mexico,9,6,15
52,Static,Canada,4,10,14
50,Static,United Kingdom,13,0,13
47,Static,India,7,5,12
48,Static,Brazil,3,7,10
53,Static,Poland,9,1,10
54,Static,Australia,3,4,7
55,Static,Egypt,1,6,7
56,Static,France,5,0,5
57,Static,Chile,2,2,4
58,Static,Germany,4,0,4
59,Static,Korea,2,2,4
60,Static,Netherlands,0,4,4
61,Static,Israel,0,3,3
62,Static,Portugal,3,0,3
63,Static,Spain,3,0,3
64,Static,Vietnam,2,1,3
65,Static,China,1,1,2
66,Static,Estonia,2,0,2
67,Static,Greece,2,0,2
68,Static,Hong Kong,2,0,2
69,Static,Hungary,1,1,2
70,Static,Indonesia,0,2,2
71,Static,Italy,2,0,2
72,Static,Kenya,2,0,2
73,Static,Morocco,1,1,2
74,Static,Pakistan,2,0,2
75,Static,Romania,1,1,2
76,Static,Slovenia,2,0,2
77,Static,Turkey,1,1,2
78,Static,Colombia,0,1,1
79,Static,Croatia,1,0,1
80,Static,Czech Republic,1,0,1
81,Static,Iraq,0,1,1
82,Static,Jamaica,0,1,1
83,Static,Japan,0,1,1
84,Static,Lithuania,1,0,1
85,Static,Malaysia,1,0,1
86,Static,Philippines,0,1,1
87,Static,Russian Federation,1,0,1
88,Static,Saint Martin (French part),1,0,1
89,Static,Sweden,1,0,1
90,Static,Trinidad and Tobago,1,0,1
91,Static,Tunisia,1,0,1
