Submission id,PID,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Condition,ID,Start time,Completion time,Email,Name,Last modified time,Education,AI Knowledge,Age,AI Deceptive,AI Dishonest,AI Suspicious,AI Wary,AI Harm,AI Confident,AI Security,AI Trustworthy,AI Reliable,AI Trust,AI systems are 1,AI systems are 2,AI systems are 3,AI systems are 4,AI systems are 5,AI systems are 6,AI systems are 7,AI systems are 8,AI systems are 9,AI Harm Post 1,AI Security Post,AI Suspicious Post,AI Wary/Deceptive Post,AI Harm Post 2,AI Confident Post,AI Dishonest Post,AI Trust Post,AI Reliable Post,AI Trustworthy Post,AI systems are Post 1,AI systems are Post 2,AI systems are Post 3,AI systems are Post 4,AI systems are Post 5,AI systems are Post 6,AI systems are Post 7,AI systems are Post 8,AI systems are Post 9,AI Interaction Feeling,Need Model Understanding,Job Screening Feeling,Age,AI Wary Post,AI Deceptive Post,AI Trust Post 2,AI Definition Feeling,Is White,Explanation Comment,Submission id (Demographics),PID (Demographics),Status (Demographics),Started at (Demographics),Completed at (Demographics),Reviewed at (Demographics),Archived at (Demographics),Time taken (Demographics),Completion code (Demographics),Total approvals (Demographics),Gender (Demographics),Ethnicity (Demographics),Age (Demographics),Sex (Demographics),Ethnicity simplified (Demographics),Country of birth (Demographics),Country of residence (Demographics),Nationality (Demographics),Language (Demographics),Student status (Demographics),Employment status (Demographics),Condition (Demographics),Responses,Submissions
698de6185797dcf160075b3f,616016b737929451588b09b0,APPROVED,2026-02-12T14:40:18.367000Z,2026-02-12T15:03:28.454000Z,2026-03-05T00:08:49.879000Z,2026-02-12T15:03:29.555834Z,1391.0,JIBS2PQEXI,117,Man (including Trans Male/Trans Man),Black/African American,25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,Interactive,21,2026-02-12 15:40:26,2026-02-12 16:02:16,anonymous,,,Bachelor,Advanced,25.0,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Personal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,"Good, I am impressed by it in all honesty",Yes,I would feel confident,,,,,,0,"Got to know BERT more better, how it came to be, statistics and everything",,,,,,,,,,,,,,,,,,,,,,,[],[]
698de6bf531eebf66929f32b,5987030cfd8cca00015cbc26,APPROVED,2026-02-12T14:42:07.478000Z,2026-02-12T15:06:57.385000Z,2026-03-05T00:02:09.153000Z,2026-02-12T15:06:58.265809Z,1490.0,B9T0JFJMTG,6970,Woman (including Trans Female/Trans Woman),Latino/Hispanic,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Interactive,23,2026-02-12 15:42:10,2026-02-12 16:06:25,anonymous,,,Master,Conceptual understanding,61.0,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Apathetic,Sensitive,Impersonal,Caring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Impersonal,Self-Serving,Judgmental,Responsive,Insensitive,Ignoring,Empathetic ,Cordial,Patient,Was very unusual and some odd results but interesting to see some of the things it thought were ok and were not!,Yes,No thanks !,,,,,,1,B9T0JFJMTG,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de6fcd5220b365dc4958c,66926bdaacd865fc152ef5ff,APPROVED,2026-02-12T14:43:12.777000Z,2026-02-12T14:59:14.611000Z,2026-03-05T00:01:24.281000Z,2026-02-12T14:59:15.404703Z,962.0,3USD7FWZK2,8923,Woman (including Trans Female/Trans Woman),White,51,Female,White,United States,United States,United States,English,No,Full-Time,Interactive,19,2026-02-12 15:43:16,2026-02-12 15:58:39,anonymous,,,Bachelor,Conceptual understanding,51.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Personal,Altruistic,Open-Minded,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,i feel comfortable but nervous how my inputs could change the output,yes i think so. You need to understand its based on its inputs and it could be wrong,i would not like it,,,,,,1,i changed words to see how AI responds and how it can be biased based on inputs,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de70c7c2bd0572c4efa15,62877d5f6a054e53313ac916,APPROVED,2026-02-12T14:43:28.842000Z,2026-02-12T14:55:14.899000Z,2026-03-05T00:07:28.905000Z,2026-02-12T14:55:16.218708Z,707.0,NOCODE,14481,Man (including Trans Male/Trans Man),White,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Interactive,18,2026-02-12 15:43:44,2026-02-12 15:55:04,anonymous,,,Bachelor,Conceptual understanding,30.0,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Apathetic,Sensitive,Impersonal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Impersonal,Self-Serving,Open-Minded,Indifferent,Insensitive,Ignoring,Apathetic,Cordial,Patient,I felt intrigued but the AI felt robotic.,Yes because you need to know what is causing it to act,Not great because I prefer subjective factors in today's competitive world,,,,,,1,HRMZQVCVFP,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de776acd96c2d8f50fc1a,60cd99f1d0df72833ad4346a,APPROVED,2026-02-12T14:45:23.179000Z,2026-02-12T15:08:58.329000Z,2026-03-05T00:07:42.940000Z,2026-02-12T15:08:59.143799Z,1416.0,EJ1DUTOMQQ,1543,Woman (including Trans Female/Trans Woman),African,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time,Interactive,24,2026-02-12 15:45:26,2026-02-12 16:08:22,anonymous,,,High School,Conceptual understanding,23.0,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Empathetic ,Insensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Impersonal,Self-Serving,Judgmental,Indifferent,Insensitive,Ignoring,Apathetic,Rude,Impatient,Amused ,Yes,I wouldn't feel good,,,,,,0,Looked at the BERT system and how it works,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de78330ef09e3d038a9e2,6982067059f530035e08918f,APPROVED,2026-02-12T14:45:30.858000Z,2026-02-12T15:15:18.409000Z,2026-03-05T00:07:51.746000Z,2026-02-12T15:15:19.178801Z,1788.0,NOCODE,73,Woman (including Trans Female/Trans Woman),East Asian,43,Female,Asian,Japan,United States,United States,Japanese,No,Full-Time,Interactive,28,2026-02-12 15:45:36,2026-02-12 16:14:20,anonymous,,,Bachelor,Beginner knowledge,43.0,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Empathetic ,Sensitive,Personal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Personal,Altruistic,Judgmental,Responsive,Sensitive,Caring,Empathetic ,Cordial,Patient,Too complicated,Maybe,Takes time to understand,,,,,,0,Updated sentences and check how AI works.,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de79139b4e8b55ab8ed78,697922ec59564a7dd0fa51cc,APPROVED,2026-02-12T14:45:49.526000Z,2026-02-12T14:59:25.786000Z,2026-03-05T00:09:05.176000Z,2026-02-12T14:59:26.542274Z,817.0,8W93G8AR4P,156,Woman (including Trans Female/Trans Woman),Mixed,24,Female,Mixed,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Full-Time,Interactive,20,2026-02-12 15:46:04,2026-02-12 15:59:11,anonymous,,,Bachelor,Conceptual understanding,24.0,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Impersonal,Self-Serving,Judgmental,Responsive,Insensitive,Ignoring,Apathetic,Cordial,Patient,It wasn't the most convenient experience due to a complicated layout.,"Yes, that would help, also knowing where it takes the information from.",I don't like that because it feels like I'd end up disadvantaged.,,,,,,0,I explored how it works and played around but I found the layout and UI very complicated to understand.,,,,,,,,,,,,,,,,,,,,,,,[],[]
698de8cf22a0d4a4aab25286,66e87a5a302c7149517b097e,APPROVED,2026-02-12T14:52:49.764000Z,2026-02-12T15:12:10.037000Z,2026-03-05T00:08:39.603000Z,2026-02-12T15:12:10.770691Z,1161.0,NOCODE,206,Man (including Trans Male/Trans Man),African,20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),Interactive,26,2026-02-12 16:07:59,2026-02-12 16:11:49,anonymous,,,High School,Conceptual understanding,20.0,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Self-Serving,Cordial,Responsive,Open-Minded,Patient,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Impersonal,Altruistic,Open-Minded,Responsive,Insensitive,Ignoring,Apathetic,Cordial,Patient,It was interesting finding how it works and guaging all its predictions ,No,I would not want that,,,,,,0,"I tested the Bert ai and tried to find out how accurate it is,what it knows about my country ",,,,,,,,,,,,,,,,,,,,,,,[],[]
698de8dce5b8f11b09d70a05,5cae3bdf3f4c8f0017ef8902,APPROVED,2026-02-12T14:51:19.794000Z,2026-02-12T15:05:12.094000Z,2026-03-05T00:08:46.816000Z,2026-02-12T15:05:13.000758Z,833.0,0YKGLN1TMT,3922,Non-binary (would like to give more detail),White,24,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time,Interactive,22,2026-02-12 15:51:22,2026-02-12 16:04:52,anonymous,,,Graduate Professional Degree,Advanced,24.0,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Apathetic,Insensitive,Impersonal,Ignoring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Impersonal,Altruistic,Open-Minded,Responsive,Insensitive,Ignoring,Apathetic,Cordial,Patient,Neutral,Not really,It depends on how well it's made,,,,,,1,"Read different papers about the evolution and training of BERT, and AI model CC: 0YKGLN1TMT",,,,,,,,,,,,,,,,,,,,,,,[],[]
698de8f245885ff8bf0f1c22,6929ee5f55c1b1f18a69fb7a,APPROVED,2026-02-12T14:51:48.693000Z,2026-02-12T15:13:37.332000Z,2026-03-05T00:07:29.353000Z,2026-02-12T15:13:38.198490Z,1309.0,3I496H3858,188,Man (including Trans Male/Trans Man),White,26,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking),Interactive,27,2026-02-12 15:51:52,2026-02-12 16:13:08,anonymous,,,High School,Conceptual understanding,26.0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Apathetic,Insensitive,Impersonal,Caring,Altruistic,Cordial,Responsive,Open-Minded,Patient,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Impersonal,Altruistic,Open-Minded,Responsive,Insensitive,Caring,Apathetic,Cordial,Patient,just curious of its ability,I need to trust the purpouse and how its done to trust it,"unfair, it will give less value to human resources",,,,,,1,I read the numerous articles and data provided and tried the interactive model to better understand its capacity and its limit,,,,,,,,,,,,,,,,,,,,,,,[],[]
