pre_column,post_column,column,n,mean_delta_Interactive,mean_delta_Static,t_statistic,p_value,r_squared
AI systems are 3,AI systems are 3 Post,AI systems are 3 Post,222,0.16304347826086957,0.4307692307692308,-3.172041989998134,0.0017297295374977342,0.04373541449577945
AI systems are 2,AI systems are 2 Post,AI systems are 2 Post,222,0.0,0.15384615384615385,-2.1458342444384204,0.03298125299626322,0.020500935912291664
AI Weary,AI Weary Post,AI Weary Post,222,0.9239130434782609,-0.9230769230769231,1.9683586117286203,0.05028265270563011,0.017306288739760558
AI systems are 6,AI systems are 6 Post,AI systems are 6 Post,222,-0.30434782608695654,-0.43846153846153846,1.9257183062065735,0.05542857225337294,0.01657689717568232
AI systems are 4,AI systems are 4 Post,AI systems are 4 Post,222,0.11956521739130435,0.23076923076923078,-1.5043945970692427,0.133914045454416,0.010182536164725793
AI Deceptive,AI Deceptive Post,AI Deceptive Post,222,-0.05434782608695652,1.3076923076923077,-1.4938908820524222,0.1366369838294691,0.010042266100575592
AI Trustworthy,AI Trustworthy Post,AI Trustworthy Post,222,-0.3804347826086957,0.6538461538461539,-1.3623647297566022,0.1744759163717111,0.008365955132378535
AI systems are 1,AI systems are 1 Post,AI systems are 1 Post,222,0.010869565217391304,-0.07692307692307693,1.2747162709251088,0.20375435642625622,0.007331764435496031
AI systems are 5,AI systems are 5 Post,AI systems are 5 Post,222,0.010869565217391304,-0.1,1.2674626450518325,0.20632983214259654,0.007249163879598665
AI Suspicious,AI Suspicious Post,AI Suspicious Post,222,0.8695652173913043,1.8076923076923077,-1.0434344039777734,0.29789234950033117,0.004924517095653537
AI systems are 7,AI systems are 7 Post,AI systems are 7 Post,222,-0.32608695652173914,-0.4,1.0267763228684303,0.3056534042174341,0.004769279593779758
AI Harm,AI Harm Post,AI Harm Post,222,1.576086956521739,0.7307692307692307,0.9224955255900669,0.3572807403433279,0.0038532675987906846
AI systems are 8,AI systems are 8 Post,AI systems are 8 Post,222,0.03260869565217391,-0.023076923076923078,0.9156788359200626,0.3608379555401842,0.0037967467315293416
AI Security,AI Security Post,AI Security Post,222,0.0,0.5384615384615384,-0.8875584912351819,0.3757475744699168,0.0035679517519212954
AI Honest,AI Honest Post,AI Honest Post,222,1.576086956521739,1.1153846153846154,0.5184287146470125,0.6046802048180372,0.0012201835703064571
AI Trust,AI Trust Post,AI Trust Post,222,-1.25,-0.8846153846153846,-0.5070533236702818,0.6126252644637012,0.0011672861826381822
AI systems are 9,AI systems are 9 Post,AI systems are 9 Post,222,-0.010869565217391304,-0.03076923076923077,0.47427044537462376,0.6357774480288536,0.0010213759761349562
AI Confident,AI Confident Post,AI Confident Post,222,-1.25,-0.9615384615384616,-0.38406373278584904,0.7013021525328614,0.0006700278110094309
AI Reliable,AI Reliable Post,AI Reliable Post,222,-0.5978260869565217,-0.34615384615384615,-0.3239931980605852,0.746250992565531,0.0004769160443314358
AI Feel,AI Feel Post,AI Feel Post,0,,,,,
AI Understand,AI Understand Post,AI Understand Post,0,,,,,
AI Job,AI Job Post,AI Job Post,0,,,,,
