userid,dbid,toplevel,queryid,query,plans,total_plan_time,min_plan_time,max_plan_time,mean_plan_time,stddev_plan_time,calls,total_exec_time,min_exec_time,max_exec_time,mean_exec_time,stddev_exec_time,rows,shared_blks_hit,shared_blks_read,shared_blks_dirtied,shared_blks_written,local_blks_hit,local_blks_read,local_blks_dirtied,local_blks_written,temp_blks_read,temp_blks_written,shared_blk_read_time,shared_blk_write_time,local_blk_read_time,local_blk_write_time,temp_blk_read_time,temp_blk_write_time,wal_records,wal_fpi,wal_bytes,jit_functions,jit_generation_time,jit_inlining_count,jit_inlining_time,jit_optimization_count,jit_optimization_time,jit_emission_count,jit_emission_time,jit_deform_count,jit_deform_time,stats_since,minmax_stats_since
1610550,1610538,t,,<insufficient privilege>,0,0,0,0,0,0,155,7315.370733999997,2.44377,130.958592,47.195940219354824,25.994682217078,2170,61676,2198,0,24,0,0,0,0,0,0,6613.686819000001,0.24564300000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 03:11:03.919612+00,2026-03-16 03:11:03.919612+00
66015814,66003538,t,,<insufficient privilege>,0,0,0,0,0,0,1,0.009381,0.009381,0.009381,0.009381,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:27:27.610234+00,2026-03-16 08:27:27.610234+00
56058788,56058749,t,,<insufficient privilege>,0,0,0,0,0,0,33,94.61302199999999,1.9852319999999999,12.753156,2.8670612727272724,2.2564196660399354,33,10296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 04:46:24.098782+00,2026-03-16 04:46:24.098782+00
10289202,10289188,t,,<insufficient privilege>,0,0,0,0,0,0,720227,110931.92712700147,0.058982,969.7010310000001,0.15402356080374865,2.0439296860075458,720227,12346265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-13 10:32:50.753505+00,2026-02-13 10:32:50.753505+00
56094673,56094656,t,,<insufficient privilege>,0,0,0,0,0,0,99745,4352.488024000046,0.012632,70.937562,0.04363615242869363,0.4927514597134843,4679,406082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-15 03:38:03.583605+00,2026-02-15 03:38:03.583605+00
71512638,71510822,t,,<insufficient privilege>,0,0,0,0,0,0,173,3.504952,0.012721,0.240976,0.020259838150289016,0.01767793915837192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-14 04:39:30.710246+00,2026-03-14 04:39:30.710246+00
10,16384,t,,<insufficient privilege>,0,0,0,0,0,0,99,1.5149600000000003,0.008233,0.179637,0.015302626262626266,0.02065077706444411,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 01:33:17.3475+00,2026-03-16 01:33:17.3475+00
56099700,56099681,t,,<insufficient privilege>,0,0,0,0,0,0,71720,3562.888854999971,0.025232,70.660082,0.04967775871444466,0.4628665055879663,30852,430230,90,0,0,0,0,0,0,0,0,273.66211400000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-15 07:55:23.697634+00,2026-02-15 07:55:23.697634+00
58888726,58888702,t,,<insufficient privilege>,0,0,0,0,0,0,459,283.8118479999998,0.387043,14.324902,0.6183264662309365,0.8739509572138333,459,291621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-12 21:27:51.361955+00,2026-03-12 21:27:51.361955+00
6068091,6068078,t,,<insufficient privilege>,0,0,0,0,0,0,11,104.617022,5.851179,20.019232000000002,9.510638363636364,4.165912501139878,58,6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-03-16 08:04:39.018695+00,2026-03-16 08:04:39.018695+00
