Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bc17c8b28041f669128517,69b7820dbe7b18e142992644,APPROVED,Not Applicable,2026-03-19T15:35:45.719000Z,2026-03-19T16:05:46.189000Z,2026-03-23T07:46:20.521000Z,2026-03-19T16:05:46.726429Z,1801.0,IUAJUMMU3C,26,20,Male,White,United States,United States,United States,English,Yes,Part-Time
69bc17e31e88f7f735685fd8,69820f04f41ddd75351cbc61,APPROVED,Not Applicable,2026-03-19T15:36:03.367000Z,2026-03-19T16:06:26.923000Z,2026-03-23T07:47:04.565000Z,2026-03-19T16:06:27.548011Z,1824.0,X8XITW3V0K,163,36,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
69bc17f5115e8efb31088d8f,57acc170c6bab4000172a42e,APPROVED,Not Applicable,2026-03-19T15:36:37.576000Z,2026-03-19T15:52:31.273000Z,2026-03-23T07:47:15.841000Z,2026-03-19T15:52:31.806127Z,954.0,FXEPJ9ES2X,3226,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
69bc18019a892deeca1b1651,696e3c3ad994d9435948d3d1,APPROVED,Not Applicable,2026-03-19T15:36:37.208000Z,2026-03-19T16:01:22.638000Z,2026-03-23T07:47:58.055000Z,2026-03-19T16:01:23.161685Z,1486.0,LJ0TB17ZAV,289,28,Female,White,France,France,France,French,No,Unemployed (and job seeking)
69bc18045925bd42536024d5,5da2c64589f3800013f5a379,APPROVED,Not Applicable,2026-03-19T15:36:39.967000Z,2026-03-19T15:53:18.926000Z,2026-03-23T07:48:04.783000Z,2026-03-19T15:53:19.467957Z,999.0,M4GHX4LMR,928,40,Female,White,Canada,Canada,Canada,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69bc1814483b1ae08ca5468a,696bcceabdd018a8f5bf3c8e,APPROVED,Not Applicable,2026-03-19T15:36:52.048000Z,2026-03-19T15:52:50.568000Z,2026-03-23T07:48:06.960000Z,2026-03-19T15:52:51.097658Z,959.0,9KR4DRC63W,131,22,Female,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
69bc18175580dd2898757705,697b59938ccc5d0d30fac558,APPROVED,Not Applicable,2026-03-19T15:37:24.848000Z,2026-03-19T16:13:00.093000Z,2026-03-23T07:47:06.206000Z,2026-03-19T16:13:00.620071Z,2136.0,TOHG946MMC,42,32,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
69bc1817f18f8f107045e780,696d341fcf5b125d9f7960ba,APPROVED,Not Applicable,2026-03-19T15:36:55.504000Z,2026-03-19T15:58:45.135000Z,2026-03-23T07:48:07.986000Z,2026-03-19T15:58:45.638167Z,1310.0,2JSF1XN7OS,296,24,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
69bc181a8bef96c6fc42ba2a,5db753692a16b8000b4d44f6,APPROVED,Not Applicable,2026-03-19T15:37:01.726000Z,2026-03-19T15:49:40.841000Z,2026-03-23T07:46:20.947000Z,2026-03-19T15:49:41.297114Z,760.0,LUIWVFNN3V,5015,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69bc1822cd9c02fd201d0de7,6977b0a69a3efe5e90fcb569,APPROVED,Not Applicable,2026-03-19T15:37:11.092000Z,2026-03-19T16:17:49.762000Z,2026-03-23T07:47:07.231000Z,2026-03-19T16:17:50.278590Z,2439.0,EDJ34C3BRP,36,19,Male,White,Poland,Poland,Poland,Polish,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
