Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bc179b11eafaad2587f1b9,69aef619046988c89d06e681,APPROVED,Not Applicable,2026-03-19T15:35:41.595000Z,2026-03-19T15:50:10.153000Z,2026-03-23T07:48:57.597000Z,2026-03-19T15:50:10.686247Z,869.0,3Z1KGC9HLL,33,29,Male,Asian,Netherlands,Belgium,Netherlands,Dutch,No,Part-Time
69bc179fee7b0276dbb71867,697ceaa6ba4604b428e4e69d,APPROVED,Not Applicable,2026-03-19T15:35:01.765000Z,2026-03-19T16:18:57.039000Z,2026-03-23T07:48:43.541000Z,2026-03-19T16:18:58.115697Z,2636.0,PCOSLW1BFZ,145,29,Male,Asian,India,India,India,Hindi,No,Full-Time
69bc17a249d64e9d3f42b741,697b7d54462794c8012dea1b,APPROVED,Not Applicable,2026-03-19T15:35:49.092000Z,2026-03-19T16:00:27.283000Z,2026-03-23T07:48:52.112000Z,2026-03-19T16:00:27.869774Z,1479.0,XJ6Q87E0T3,137,41,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Part-Time
69bc17be8526961d32322b50,67c8a9e6b40afcd32f87ffcd,RETURNED,Not Applicable,2026-03-19T15:35:26.992000Z,2026-03-19T15:46:27.287000Z,,2026-03-21T12:13:50.631888Z,,HUA8PP49EG,25,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc17c0c235d76b783f8c5e,69b1e5c5145bfd9c6480d144,APPROVED,Not Applicable,2026-03-19T15:35:34.281000Z,2026-03-19T15:48:26.535000Z,2026-03-23T07:48:32.746000Z,2026-03-19T15:48:27.266110Z,773.0,DOXTFXLL0K,14,19,Male,Black,United Kingdom,Canada,Canada,English,Yes,Unemployed (and job seeking)
69bc17d9fac91bf0cf2311ae,68154a8691e3db7697412808,APPROVED,Not Applicable,2026-03-19T15:36:20.857000Z,2026-03-19T15:54:01.531000Z,2026-03-23T07:49:10.642000Z,2026-03-19T15:54:02.092137Z,1061.0,43UN13CVMF,942,52,Female,White,Brazil,Brazil,Brazil,Portuguese,No,Other
69bc17f3fd8b248c20884bd4,65e1ff47732df48bf23d8776,APPROVED,Not Applicable,2026-03-19T15:36:39.569000Z,2026-03-19T15:54:10.769000Z,2026-03-23T07:49:52.536000Z,2026-03-19T15:54:11.314156Z,1052.0,3PFMNLL5DS,905,39,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
69bc17f45654259cec3995ed,61045e8d6b7566032daaa12a,APPROVED,Not Applicable,2026-03-19T15:36:53.559000Z,2026-03-19T15:53:27.015000Z,2026-03-23T07:50:06.815000Z,2026-03-19T15:53:27.656155Z,994.0,6KXV42UZWH,1016,30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
69bc17f72a377b5beef53b17,5f2be3f5d81eaf0009520f8b,APPROVED,Not Applicable,2026-03-19T15:36:31.333000Z,2026-03-19T15:50:24.038000Z,2026-03-23T07:49:59.633000Z,2026-03-19T15:50:24.566952Z,833.0,M0ZEDTVCFP,1686,40,Female,Mixed,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
69bc18079b2338c27424c1ef,660d8785249023610cc02782,APPROVED,Not Applicable,2026-03-19T15:36:39.606000Z,2026-03-19T15:50:58.895000Z,2026-03-23T07:50:08.239000Z,2026-03-19T15:50:59.463359Z,860.0,HOLN8VXQYA,678,24,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
69bc18088e198518994a7b7c,60db6cbfbdc2bef6285fe52c,RETURNED,Not Applicable,2026-03-19T15:36:47.905000Z,,,2026-03-21T12:13:50.635194Z,,,1300,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc1822cdd13b907d8d76b9,6999db724ba6d4801fd787bd,APPROVED,Not Applicable,2026-03-19T15:37:29.651000Z,2026-03-19T15:52:20.322000Z,2026-03-23T07:50:00.366000Z,2026-03-19T15:52:20.847902Z,891.0,FCEJDKBRE3,32,54,Female,White,Netherlands,Netherlands,Netherlands,Dutch,No,Full-Time
69bc182b007d77d5da1e6a8d,69b03d1151f226b4d040dfb5,APPROVED,Not Applicable,2026-03-19T15:38:29.004000Z,2026-03-19T15:54:10.503000Z,2026-03-23T07:48:33.326000Z,2026-03-19T15:54:11.161300Z,942.0,ZQ5RQDQF4P,43,45,Male,White,Canada,Canada,Canada,English,No,Full-Time
69bc182d5f4d105945eafbb1,699875fe34fe9212c151d9c6,APPROVED,Not Applicable,2026-03-19T15:38:49.614000Z,2026-03-19T16:04:15.427000Z,2026-03-23T07:49:30.108000Z,2026-03-19T16:04:16.359581Z,1526.0,JC8HSDCUIG,76,20,Female,Other,Egypt,Egypt,Egypt,Arabic,Yes,Part-Time
69bc1830f66cbee98c34d337,69b032a6c0a9870e3bb87f40,APPROVED,Not Applicable,2026-03-19T15:37:25.202000Z,2026-03-19T15:46:12.307000Z,2026-03-23T07:48:35.716000Z,2026-03-19T15:46:12.829637Z,528.0,7L8WXYOYCP,52,30,Male,Other,Canada,United States,Canada,English,No,Full-Time
69bc1831cb3d9b03358f1052,6012ed349807110d8eb941a6,RETURNED,Not Applicable,2026-03-19T15:41:26.279000Z,,,2026-03-21T12:13:50.636867Z,,,2578,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc183446b5949e805d0d82,69af048458a82da8c2894f66,TIMED-OUT,Not Applicable,2026-03-19T15:37:24.697000Z,,,2026-03-21T12:13:50.637117Z,160586.0,,22,25,Male,White,Netherlands,Netherlands,Netherlands,Dutch,Yes,Unemployed (and job seeking)
69bc183b9670bb556d4ed1a7,673b5ef49b67541b7cf9a2fc,APPROVED,Not Applicable,2026-03-19T15:37:34.561000Z,2026-03-19T15:51:43.788000Z,2026-03-23T07:48:25.476000Z,2026-03-19T15:51:44.348329Z,850.0,CZLXRWTLWH,1940,42,Male,White,Brazil,Brazil,Brazil,Portuguese,No,Full-Time
69bc18416058c97dc40f3f68,69abe3e942b8a985c91c6636,APPROVED,Not Applicable,2026-03-19T15:38:42.092000Z,2026-03-19T15:48:02.549000Z,2026-03-23T07:48:58.838000Z,2026-03-19T15:48:03.064295Z,561.0,1LG25N9PCA,23,27,Male,White,Netherlands,Netherlands,Netherlands,Dutch,No,Part-Time
69bc18419920bcd28dc7cf77,673fc88106d7779a0f39642e,APPROVED,Not Applicable,2026-03-19T15:38:39.418000Z,2026-03-19T16:05:46.642000Z,2026-03-23T07:48:25.988000Z,2026-03-19T16:05:48.726852Z,1628.0,EMX3CSGK0M,1728,46,Male,White,Brazil,Brazil,Brazil,Portuguese,No,Full-Time
69bc18480cdfc487cc2f6a41,698b57a46bf6a0eee98c0c04,REJECTED,Not Applicable,2026-03-19T15:37:44.834000Z,2026-03-19T15:48:11.801000Z,2026-03-21T10:41:00.444000Z,2026-03-21T12:13:50.639420Z,627.0,NOCODE,73,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69bc184bc603ed30d9113fde,66708c3d9418ec5491c5483e,APPROVED,Not Applicable,2026-03-19T15:37:58.457000Z,2026-03-19T15:44:35.589000Z,2026-03-23T07:48:36.338000Z,2026-03-19T15:44:36.113166Z,398.0,G5TB9CEASI,3702,40,Male,White,Canada,Canada,Canada,English,No,Full-Time
69bc18549733d7c1dbfb94c7,698b6fd03eb6a97a01f59eef,APPROVED,Not Applicable,2026-03-19T15:37:56.732000Z,2026-03-19T15:55:15.932000Z,2026-03-23T07:49:33.085000Z,2026-03-19T15:55:16.469422Z,1040.0,T3R1G5LKQ7,87,20,Female,Mixed,Egypt,Egypt,Egypt,Arabic,Yes,Unemployed (and job seeking)
69bc186c8771eb57a59799fe,6984ea6bcebea0dac711b77c,APPROVED,Not Applicable,2026-03-19T15:38:27.419000Z,2026-03-19T15:57:08.046000Z,2026-03-23T07:48:52.572000Z,2026-03-19T15:57:08.604271Z,1121.0,XXSH291A1L,88,21,Male,Prefer not to say,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
69bc186fba01810da4fb94d6,692f6b63c385f6e3b835fd89,APPROVED,Not Applicable,2026-03-19T15:38:42.956000Z,2026-03-19T15:49:39.381000Z,2026-03-23T07:49:20.272000Z,2026-03-19T15:49:39.932521Z,657.0,379HIZF4Z2,50,25,Female,White,Canada,Canada,Canada,English,No,Full-Time
69bc18849d203ffa92a6dc68,698225c4f7fabee5b6043196,APPROVED,Not Applicable,2026-03-19T15:38:56.673000Z,2026-03-19T15:55:57.659000Z,2026-03-23T07:48:40.450000Z,2026-03-19T15:55:58.188448Z,1021.0,X012QY4BKR,90,29,Male,Mixed,Egypt,Egypt,Egypt,Arabic,No,Full-Time
69bc18853ded1ac9a9efa53c,6606e9876725dc8f799372e4,APPROVED,Not Applicable,2026-03-19T15:38:53.624000Z,2026-03-19T15:54:38.873000Z,2026-03-23T07:48:54.687000Z,2026-03-19T15:54:39.647632Z,946.0,7CSOTY4G7Q,755,47,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
69bc1896768182b52f7a69d0,611cd5bfd7197f8a2a3682d1,APPROVED,Not Applicable,2026-03-19T15:42:32.348000Z,2026-03-19T16:15:40.780000Z,2026-03-23T07:49:03.914000Z,2026-03-19T16:15:41.305515Z,1989.0,ZF3EHE0RVM,1240,33,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,Full-Time
69bc18a2ebd622cdd89ea454,697e18fa7163f852e87afc13,RETURNED,Not Applicable,2026-03-19T15:50:00.018000Z,,,2026-03-21T12:13:50.640446Z,,,74,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
