Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698de5cb5ea9e8186736a964,5e52d0122f5f952f2a7b6b28,RETURNED,Not Applicable,2026-02-12T14:38:06.670000Z,,,2026-02-23T10:27:20.965611Z,,,5812,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de5ec61458148be47ef3d,5f9c2359530d3e067a300bd6,RETURNED,Not Applicable,2026-02-12T14:38:59.794000Z,,,2026-02-23T10:27:20.970613Z,,,1015,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de6185797dcf160075b3f,616016b737929451588b09b0,AWAITING REVIEW,Not Applicable,2026-02-12T14:40:18.367000Z,2026-02-12T15:03:28.454000Z,,2026-02-12T15:03:29.555834Z,1391.0,JIBS2PQEXI,117,Man (including Trans Male/Trans Man),Black/African American,25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
698de629ec2035fcf7d9f477,5c63e773f9b6300001c9ce20,RETURNED,Not Applicable,2026-02-12T14:39:41.979000Z,,,2026-02-23T10:27:20.974096Z,,,3612,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de6bf531eebf66929f32b,5987030cfd8cca00015cbc26,AWAITING REVIEW,Not Applicable,2026-02-12T14:42:07.478000Z,2026-02-12T15:06:57.385000Z,,2026-02-12T15:06:58.265809Z,1490.0,B9T0JFJMTG,6970,Woman (including Trans Female/Trans Woman),Latino/Hispanic,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
698de6fcd5220b365dc4958c,66926bdaacd865fc152ef5ff,AWAITING REVIEW,Not Applicable,2026-02-12T14:43:12.777000Z,2026-02-12T14:59:14.611000Z,,2026-02-12T14:59:15.404703Z,962.0,3USD7FWZK2,8923,Woman (including Trans Female/Trans Woman),White,51,Female,White,United States,United States,United States,English,No,Full-Time
698de70c7c2bd0572c4efa15,62877d5f6a054e53313ac916,AWAITING REVIEW,Not Applicable,2026-02-12T14:43:28.842000Z,2026-02-12T14:55:14.899000Z,,2026-02-12T14:55:16.218708Z,707.0,NOCODE,14481,Man (including Trans Male/Trans Man),White,30,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
698de776acd96c2d8f50fc1a,60cd99f1d0df72833ad4346a,AWAITING REVIEW,Not Applicable,2026-02-12T14:45:23.179000Z,2026-02-12T15:08:58.329000Z,,2026-02-12T15:08:59.143799Z,1416.0,EJ1DUTOMQQ,1543,Woman (including Trans Female/Trans Woman),African,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
698de77898f1592e85ff14c2,676d79c6ba903d208cc94066,RETURNED,Not Applicable,2026-02-12T14:45:29.437000Z,,,2026-02-23T10:27:20.981712Z,,,675,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de78330ef09e3d038a9e2,6982067059f530035e08918f,AWAITING REVIEW,Not Applicable,2026-02-12T14:45:30.858000Z,2026-02-12T15:15:18.409000Z,,2026-02-12T15:15:19.178801Z,1788.0,NOCODE,73,Woman (including Trans Female/Trans Woman),East Asian,43,Female,Asian,Japan,United States,United States,Japanese,No,Full-Time
698de79139b4e8b55ab8ed78,697922ec59564a7dd0fa51cc,AWAITING REVIEW,Not Applicable,2026-02-12T14:45:49.526000Z,2026-02-12T14:59:25.786000Z,,2026-02-12T14:59:26.542274Z,817.0,8W93G8AR4P,156,Woman (including Trans Female/Trans Woman),Mixed,24,Female,Mixed,Lithuania,United Kingdom,Lithuania,Lithuanian,No,Full-Time
698de7aa9d91c9f7ad4b3ca8,66aba35e2da3634c031620ea,RETURNED,Not Applicable,2026-02-12T14:47:26.175000Z,,,2026-02-23T10:27:20.998714Z,,,156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de894a3439c8d8d66e5c5,67857ceffe39fa46008f8895,RETURNED,Not Applicable,,,,2026-02-23T10:27:20.999684Z,,,764,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de8cf22a0d4a4aab25286,66e87a5a302c7149517b097e,AWAITING REVIEW,Not Applicable,2026-02-12T14:52:49.764000Z,2026-02-12T15:12:10.037000Z,,2026-02-12T15:12:10.770691Z,1161.0,NOCODE,206,Man (including Trans Male/Trans Man),African,20,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
698de8dce5b8f11b09d70a05,5cae3bdf3f4c8f0017ef8902,AWAITING REVIEW,Not Applicable,2026-02-12T14:51:19.794000Z,2026-02-12T15:05:12.094000Z,,2026-02-12T15:05:13.000758Z,833.0,0YKGLN1TMT,3922,Non-binary (would like to give more detail),White,24,Male,White,Spain,Spain,Spain,Spanish,Yes,Part-Time
698de8e07517de88efb2ed4a,68cda47be0775784c5a6be41,RETURNED,Not Applicable,2026-02-12T14:52:36.064000Z,,,2026-02-23T10:27:21.008423Z,,,215,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de8f245885ff8bf0f1c22,6929ee5f55c1b1f18a69fb7a,AWAITING REVIEW,Not Applicable,2026-02-12T14:51:48.693000Z,2026-02-12T15:13:37.332000Z,,2026-02-12T15:13:38.198490Z,1309.0,3I496H3858,188,Man (including Trans Male/Trans Man),White,26,Male,White,Italy,Italy,Italy,Italian,Yes,Unemployed (and job seeking)
698de91ef8dfbb3936def173,645ceaaae42d44152b352d8f,RETURNED,Not Applicable,2026-02-12T14:52:30.255000Z,,,2026-02-23T10:27:21.013870Z,,,455,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de948812404feb044959c,5eb71d89ed8104645e640ad7,RETURNED,Not Applicable,2026-02-12T14:53:05.525000Z,,,2026-02-23T10:27:21.022171Z,,,580,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de9520827655378d1eb3d,5eac2a8bf51f94237e265659,TIMED-OUT,Not Applicable,2026-02-12T14:57:23.579000Z,,,2026-02-23T10:27:21.024945Z,934198.0,,1270,Man (including Trans Male/Trans Man),African,29,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
698de955b91f46341dce21ee,66019b44b0df74573b9f7efe,RETURNED,Not Applicable,2026-02-12T14:53:14.080000Z,,,2026-02-23T10:27:21.026366Z,,,1472,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de96158fc4242125c68c1,698c919d505ef1862de8b8e9,AWAITING REVIEW,Not Applicable,2026-02-12T14:53:39.965000Z,2026-02-12T15:10:47.797000Z,,2026-02-12T15:10:48.558328Z,1028.0,WH0ZXLQ89S,7,Woman (including Trans Female/Trans Woman),East Asian,28,Female,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
698de9a54ef2d05dd15798ce,64e6b4025cbe79c020343121,RETURNED,Not Applicable,2026-02-12T14:54:35.357000Z,,,2026-02-23T10:27:21.027550Z,,,1309,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de9a97039f3e426c47968,65fb14f7d8a3890c20fac495,RETURNED,Not Applicable,2026-02-12T14:54:48.916000Z,,,2026-02-23T10:27:21.030001Z,,,2191,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698de9e29a85daa5f9d70a03,68e54271b188d748c1a258bb,AWAITING REVIEW,Not Applicable,2026-02-12T14:55:42.165000Z,2026-02-12T15:17:19.398000Z,,2026-02-12T15:17:20.174468Z,1298.0,1TWBLXG6II,212,Man (including Trans Male/Trans Man),South Asian,37,Male,Asian,India,India,India,Hindi,No,Full-Time
698dea2526e08e585101b4c0,69154a99dc313622b209ac5a,RETURNED,Not Applicable,,,,2026-02-23T10:27:21.031207Z,,,1128,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dea2f41b5776770dbee7c,68cd64a7e22b05752f0ec939,RETURNED,Not Applicable,2026-02-12T14:58:36.476000Z,,,2026-02-23T10:27:21.032069Z,,,363,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dea49c84ef2b4263c9fa1,601b5c79e845ac360826c9df,AWAITING REVIEW,Not Applicable,2026-02-12T14:57:13.910000Z,2026-02-12T15:18:15.198000Z,,2026-02-12T15:18:15.953689Z,1262.0,RB0UE770PP,373,Man (including Trans Male/Trans Man),Black/British,24,Male,Mixed,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
698dea62edaadbf959587737,663378460f834e9670d1508c,RETURNED,Not Applicable,2026-02-12T14:58:13.328000Z,,,2026-02-23T10:27:21.032940Z,,,2945,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dea8a83e6c77900fd1d08,6614fb6af3c5aa23b962ea2d,AWAITING REVIEW,Not Applicable,2026-02-12T14:58:58.180000Z,2026-02-12T15:16:58.780000Z,,2026-02-12T15:16:59.575063Z,1081.0,LM3TBKUVV1,2637,Man (including Trans Male/Trans Man),South East Asian,57,Male,Asian,India,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
698deaa1f00e0e6726badd44,60bbea726dc12dd57d5f1b94,TIMED-OUT,Not Applicable,2026-02-12T14:59:06.394000Z,,,2026-02-23T10:27:21.034220Z,934095.0,,1528,Woman (including Trans Female/Trans Woman),Black/British,64,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
698deaab8e59c25f07b88f42,5fefefa4c9707d3516361c9c,RETURNED,Not Applicable,2026-02-12T15:02:46.086000Z,,,2026-02-23T10:27:21.036727Z,,,17818,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dead40f8a5ed42c343114,6765de7067ea602040582812,RETURNED,Not Applicable,2026-02-12T14:59:38.215000Z,,,2026-02-23T10:27:21.036081Z,,,1157,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
698dead9a37046299006908a,66cafde9f17181e6f749bbfb,AWAITING REVIEW,Not Applicable,2026-02-12T14:59:43.347000Z,2026-02-12T15:11:03.609000Z,,2026-02-12T15:11:04.407719Z,681.0,KGXD4RKVOH,448,Woman (including Trans Female/Trans Woman),South Asian,40,Female,Asian,India,India,India,Malayalam,Yes,Part-Time
