Group,Condition,n,mean,ci_low,ci_high,Subhypothesis,Outcome
WEIRD,Interactive,60,-0.18000000000000005,-0.3457722545123852,-0.014227745487614907,H6.1,Analytical Change
WEIRD,Text,60,-0.12333333333333334,-0.23870083354886568,-0.007965833117800997,H6.1,Analytical Change
NORMAL,Interactive,192,-0.13020833333333334,-0.22176038074515092,-0.038656285921515765,H6.1,Analytical Change
NORMAL,Text,192,-0.12395833333333332,-0.21312993347902462,-0.03478673318764203,H6.1,Analytical Change
WEIRD,Interactive,60,-0.1037037037037037,-0.2248903492436114,0.01748294183620401,H6.2,Emotional Change
WEIRD,Text,60,-0.08148148148148149,-0.21557720068059869,0.05261423771763571,H6.2,Emotional Change
NORMAL,Interactive,192,-0.2974537037037037,-0.3593387859513738,-0.2355686214560336,H6.2,Emotional Change
NORMAL,Text,192,-0.3263888888888889,-0.38728477370926045,-0.26549300406851734,H6.2,Emotional Change
WEIRD,Interactive,60,-0.0762962962962963,-0.2647130675990157,0.11212047500642311,H6.3,Analytical vs Emotional Difference
WEIRD,Text,60,-0.041851851851851835,-0.21254580914622406,0.1288421054425204,H6.3,Analytical vs Emotional Difference
NORMAL,Interactive,192,0.16724537037037035,0.06798701345541192,0.2665037272853288,H6.3,Analytical vs Emotional Difference
NORMAL,Text,192,0.20243055555555553,0.10267626967749843,0.3021848414336126,H6.3,Analytical vs Emotional Difference
